District,Region,Population,Health_Facilities,Doctors,Nurses,Hospital_Beds,Disease_Cases,Medicine_Stock,Emergency_Visits,Budget_Million_UGX,Resource_Need_Level
Jinja,Northern,464002,11,23,568,116,24465,77,1050,7652,Medium
Masaka,Northern,89317,16,116,448,91,16272,45,9128,3677,Medium
Kampala,Central,284083,79,20,426,70,14988,42,9220,7232,Medium
Gulu,Western,489499,23,143,140,604,20716,75,3061,1044,Medium
Kabale,Northern,440487,17,145,84,597,4406,79,3474,4266,Low
Masaka,Eastern,864983,45,124,484,390,20145,55,3045,5926,Medium
Mbarara,Central,652326,43,139,526,916,23010,86,7453,2558,Medium
Kabale,Central,173800,70,112,188,795,22916,49,8111,3654,Medium
Kampala,Central,851710,76,151,341,368,46066,62,9838,4268,High
Kabale,Eastern,122103,16,74,505,733,44025,44,1094,6189,High
Arua,Eastern,348420,54,176,375,43,30757,62,2853,5204,High
Wakiso,Eastern,111818,32,78,152,776,16727,65,6505,7710,Medium
Lira,Central,224447,62,107,582,304,9473,92,7153,7277,Low
Masaka,Western,790710,58,96,409,1000,15622,49,1459,1643,Medium
Gulu,Northern,740504,34,8,516,871,39108,51,4404,2509,High
Kampala,Northern,489297,73,99,599,346,8724,84,8545,7984,Low
Kabale,Central,528825,76,105,427,428,26329,46,7989,5396,Medium
Mbale,Central,249868,13,,471,186,7704,61,9942,630,Low
Wakiso,Central,644315,24,142,123,991,24329,79,517,776,Medium
Mbarara,Eastern,205766,37,93,392,505,8550,47,8096,4017,Low
Lira,Eastern,377000,15,41,124,787,22954,87,4437,4120,Medium
Gulu,Central,265183,72,97,170,726,36097,98,543,6410,High
Masaka,Western,724147,16,183,287,550,24532,98,2836,3113,Medium
Mbarara,Western,520K,33,161,219,845,16188,92,6664,6261,Medium
Mbarara,Northern,592783,68,96,49,48,18811,70,4346,1786,Medium
Kabale,Western,518952,49,98,102,245,7194,54,7801,1811,Low
Jinja,Northern,556098,5,127,372,838,42648,45,2064,7652,High
Mbale,Northern,551253,27,116,360,108,47805,65,7688,3488,High
Wakiso,Northern,228261,21,12,174,624,30997,91,2494,5210,High
Kabale,Eastern,739195,49,44,581,581,9084,41,333,6748,Low
Wakiso,Northern,504882,29,59,48,277,14444,58,8311,2170,Medium
Kabale,Western,321963,74,112,154,82,48991,62,7606,5626,High
Kabale,Eastern,576017,21,141,175,556,33959,41,7311,6561,High
Gulu,Central,863735,24,49,164,504,41073,86,2071,4758,High
Kampala,Western,765476,71,140,588,514,7453,96,9279,665,Low
Mbarara,Northern,340368,10,30,539,483,37313,41,1138,3831,High
Jinja,Northern,776381,40,120,540,566,31828,72,4157,5927,High
Masaka,Western,636692,30,119,160,446,8470,65,7343,2788,Low
Wakiso,Northern,499145,14,59,330,822,8518,97,2630,7896,Low
Jinja,Northern,315402,22,124,244,784,6668,65,8083,1533,Low
Mbarara,Northern,790633,60,-8,433,367,28108,52,5942,2809,Medium
Wakiso,Western,70429,48,146,489,471,46581,41,6397,2915,High
Masaka,Western,587145,13,33,254,917,7366,45,4451,2427,Low
Kampala,Northern,333583,21,113,284,435,10288,74,8534,4874,Low
Lira,Western,143807,40,19,207,455,5245,57,375,5397,High
